URL,会社名,会社URL,売上,従業員数,会社情報,会社事業内容,ホームページリンク
https://townwork.net/viewjob/jobid_6bfcae05e99b44e6/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-6bfcae05e99b44e6--SoA66_M33YQSYWSIIJ0DbzkdCdPP,株式会社REIGETSU,,,,,生活関連サービス,https://reigetsu.co.jp/
https://townwork.net/detail/clc_2898122007/joid_Y00MEAEH/?opf=A&jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-PPPY00MEAEH0001,株式会社ヒューマン・ライジン　横浜オフィス,,,,,派遣・請負業/派13-304283,https://h-raizin.com/
https://townwork.net/detail/clc_1876169009/joid_Y00ME6E2/?opf=PR1&jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-PPPY00ME6E20001,ビーウィズ株式会社/ＡＢＱＲ23657,,,,,コールセンター・ＢＰＯ事業,https://www.bewith.net/oshigoto-mart/
https://townwork.net/viewjob/jobid_9fb6a95d05f6a324/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-9fb6a95d05f6a324--SoAx6_M33YQSYWyIIJ0JbzkdCdPP,株式会社東京海上日動キャリアサービス,,,,,人材派遣・職業紹介,
https://townwork.net/viewjob/jobid_b9d7cffc77c54bb5/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-b9d7cffc77c54bb5--SoCH6_M33YQSYRSIIJ0JbzkdCdPP,公益財団法人河野臨牀医学研究所,,,,,病院・診療所,
https://townwork.net/detail/clc_3416879008/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-PPPZ01977270001,株式会社TOKIUM,,,,,IT・コンピュータ関連業,N/A
https://townwork.net/viewjob/jobid_d68bb57e15a3c478/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-d68bb57e15a3c478--SoDC6_M33YQSYRyIIJ0JbzkdCdPP,公益財団法人河野臨牀医学研究所,,,,,病院・診療所,
https://townwork.net/viewjob/jobid_11d89f7bff7d58b0/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-11d89f7bff7d58b0--SoDR6_M33YQSYRyIIJ0NbzkdCdPP,日建管財株式会社,,,,,官公庁,
https://townwork.net/detail/clc_4051941001/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-PPPZ01977300001,株式会社A-urora,,,,,"【オーロラについて】
平均年齢は24.5歳！年功序列関係なし！
基本はわいわい♪やる時やる！メリハリ大事！
社長も現場で一緒に仕事を楽しんでます^^

今まで接客・飲食の仕事で褒められた経験のある方
声優や俳優の仕事をしているが収入源が少なく困っている方！
人と接することが好きでパソコン作業に慣れてみたい方！

全てコールセンターのお仕事で活かせます！

服装・髪色/髪型自由！
中にはタトゥー、ネイルをして時間の融通も効きやすく
働きやすさ重視のコールセンター！

《サービス内容》
生活インフラ、美容関係(健康食品/コスメ)の商品の
PRやサービスプロモーションのご案内をお願いします。


【社長からのメッセージ】
5年前、夢追って東京に出てきたけど、東京生活そんなに甘くない…。
当時バイトをたくさん掛け持ちしていた私。
毎日がバイトづけ、家と職場の往復…
憧れのキラキラ東京生活とは全然違う。。。

飲食.美容.と接客しかしたことない私が
”#初めてのオフィスワーク”

パソコンなんて使えない、敬語なんてわからない
そんな私でも一緒に働くメンバーが最高だったから♪
何をやるかではなく、誰とやるか！
『最高なメンバーを自分で創り上げたい！』
と思い立ち上げました！

～過去より未来をみる会社～
で是非一緒に成長しながら稼ぎましょうー♪

弊社では多くのクライアント様からの案件をいただいており、スキルや能力次第ではステップアップ式で任せていく案件が変わって行きますので、未経験の方でもキャリアアップできます！

また、弊社では充実した研修制度もあり、慣れてしっかりご案内ができるまではしっかり先輩スタッフがサポートしていきますので安心して取り組んでいただけます！


《経歴不問！異業種から活躍中》
カフェ、 コンビニ、 役者、芸能、ホテル、英語教師、ガールズバー、ナイトワーク、警備、介護、パチンコ、工場勤務、とび職、ホールスタッフ、データ入力、企画営業、 モニター、内職、カラオケ、受付、事務、清掃、接客、在宅、ライター、新聞配達、フォークリフト、ドライバー、夜勤、フリーター、ニート、派遣社員、アルバイト、WEB関係、音楽、深夜バイト、ワーホリ、社会経験０、公務員、元スポーツ選手など様々な人が活躍しています！

コールセンター・コールセンタースタッフ・テレアポ・テレフォンアポインター・テレフォンオペレーター等のアルバイト・パート経験がある方大歓迎！

＜多くの声をいただいています！＞
・未経験でも先輩方が丁寧に教えてくれて安心した！
・PC・敬語・コミュニケーションスキルがＵＰした！
・自信がもてるようになった！
・毎日仕事にいくのが楽しい！
・自身の成長がとても実感できてる！
・実力で稼げるようになった！

少しでも気になった方はお気軽に連絡してみてください♪
ご興味ある方、スタッフ一同お待ちしております。


※12/30～1/3　面接
12/31～1/2　電話・メッセージのやり取り
上記期間は、年末年始のお休みとなります。",N/A
https://townwork.net/viewjob/jobid_93ce45a17e262ee8/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-93ce45a17e262ee8--SoB26_M33YQSYQSIIJ0PbzkdCdPP,株式会社マイルストン,,,,,玩具・ホビー用品小売,https://www.mile-stone.jp/ja/
https://townwork.net/viewjob/jobid_ec2e67f03de2f17b/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-ec2e67f03de2f17b--SoAJ6_M33YQSYQyIIJ0JbzkdCdPP,株式会社日本入試センター,,,,,教育支援サービス,https://www.sapientica.com/
https://townwork.net/detail/clc_0232681021/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-PPPZ01977680001,株式会社レリアン,,,,,商社・小売・専門店,N/A
https://townwork.net/viewjob/jobid_bf8b6f0036e68edb/?jbRsltTrackingKey=5-nrt1-0-1igoc7e39h10j800-bf8b6f0036e68edb--SoAa6_M33YQSYQyIIJ0NbzkdCdPP,有信アクロス株式会社　東日本営業本部,,,,,総合商社・専門商社・卸売,
